query_name,timestamp,ImpalaServer,PlanFragmentExecutor,Backend_src,Backend_des,Sender,ExchangeExecNode,time_elapsed
query,1.71449e+011,Server0,4,0,0,17,24,9.7057e-05
query,1.71449e+011,Server0,4,0,1,17,24,9.7057e-05
query,1.71449e+011,Server0,4,0,2,17,24,9.6676e-05
query,1.71449e+011,Server0,4,0,3,17,24,9.6676e-05
query,1.7149e+011,Server3,1,3,0,8,29,4.5608999999999996e-05
query,1.7149e+011,Server3,1,3,1,8,29,4.5608999999999996e-05
query,1.7149e+011,Server3,1,3,2,8,29,4.5046e-05
query,1.7149e+011,Server3,1,3,3,8,29,4.5046e-05
query,1.71491e+011,Server0,1,0,0,5,29,4.5608999999999996e-05
query,1.71491e+011,Server0,1,0,1,5,29,4.5608999999999996e-05
query,1.71491e+011,Server0,1,0,2,5,29,4.5046e-05
query,1.71491e+011,Server0,1,0,3,5,29,4.5046e-05
query,1.71491e+011,Server1,2,1,0,6,29,4.5608999999999996e-05
query,1.71491e+011,Server1,2,1,1,6,29,4.5608999999999996e-05
query,1.71491e+011,Server1,2,1,2,6,29,4.5046e-05
query,1.71491e+011,Server1,2,1,3,6,29,4.5046e-05
query,1.71491e+011,Server2,1,2,0,7,29,4.5608999999999996e-05
query,1.71491e+011,Server2,1,2,1,7,29,4.5608999999999996e-05
query,1.71491e+011,Server2,1,2,2,7,29,4.5046e-05
query,1.71491e+011,Server2,1,2,3,7,29,4.5046e-05
query,1.72617e+011,Server3,9,3,0,40,19,1.6230999999999998e-05
query,1.72617e+011,Server3,9,3,1,40,19,1.5845e-05
query,1.72617e+011,Server3,9,3,2,40,19,1.5845e-05
query,1.72617e+011,Server3,9,3,3,40,19,1.5845e-05
query,1.72626e+011,Server2,9,2,0,39,19,1.6230999999999998e-05
query,1.72626e+011,Server2,9,2,1,39,19,1.5845e-05
query,1.72626e+011,Server2,9,2,2,39,19,1.5845e-05
query,1.72626e+011,Server2,9,2,3,39,19,1.5845e-05
query,1.75844e+011,Server0,9,0,0,37,19,9.854699999999999e-05
query,1.75844e+011,Server0,9,0,1,37,19,9.854699999999999e-05
query,1.75844e+011,Server0,9,0,2,37,19,9.816e-05
query,1.75844e+011,Server0,9,0,3,37,19,9.816e-05
query,1.75892e+011,Server3,6,3,0,28,28,2.6813e-05
query,1.75892e+011,Server3,6,3,1,28,28,2.6124999999999998e-05
query,1.75892e+011,Server3,6,3,2,28,28,2.6124999999999998e-05
query,1.75892e+011,Server3,6,3,3,28,28,2.6124999999999998e-05
query,1.75894e+011,Server0,6,0,0,25,28,2.6813e-05
query,1.75894e+011,Server0,6,0,1,25,28,2.6124999999999998e-05
query,1.75894e+011,Server0,6,0,2,25,28,2.6124999999999998e-05
query,1.75894e+011,Server0,6,0,3,25,28,2.6124999999999998e-05
query,1.75894e+011,Server1,7,1,0,26,28,2.6813e-05
query,1.75894e+011,Server1,7,1,1,26,28,2.6124999999999998e-05
query,1.75894e+011,Server1,7,1,2,26,28,2.6124999999999998e-05
query,1.75894e+011,Server1,7,1,3,26,28,2.6124999999999998e-05
query,1.75894e+011,Server2,6,2,0,27,28,2.6813e-05
query,1.75894e+011,Server2,6,2,1,27,28,2.6124999999999998e-05
query,1.75894e+011,Server2,6,2,2,27,28,2.6124999999999998e-05
query,1.75894e+011,Server2,6,2,3,27,28,2.6124999999999998e-05
query,1.75895e+011,Server1,1,1,1,2,30,0.000228126
query,1.75895e+011,Server2,0,2,1,3,30,0.000228126
query,1.75895e+011,Server3,0,3,1,4,30,0.000228126
query,1.75895e+011,Server0,0,0,1,1,30,0.000228126
